Day After Day,Badfinger,Billboard Top 100 of 1972
Top Of The World,Carpenters,Billboard Top 100 of 1974
Dust In The Wind,Kansas,Billboard Top 100 of 1978
Love Grows (Where My Rosemary Goes),Edison Lighthouse,Billboard Top 100 of 1970
Rocket Man,Elton John,Billboard Top 100 of 1972
All By Myself,Eric Carmen,Billboard Top 100 of 1976
Never Can Say Goodbye,Jackson 5,Billboard Top 100 of 1971
The Gambler,Kenny Rogers,Billboard Top 100 of 1979
Rockin' Robin,Jackson 5,Billboard Top 100 of 1972
I'm Not In Love,10cc,Billboard Top 100 of 1975
Give Me Love (Give Me Peace On Earth),George Harrison,Billboard Top 100 of 1973
Rock The Boat,Hues Corporation,Billboard Top 100 of 1974
Reflections of My Life,Marmalade,Billboard Top 100 of 1970
Morning Has Broken,Cat Stevens,Billboard Top 100 of 1972
Hold the Line,Toto,Billboard Top 100 of 1979
Feelings,Morris Albert,Billboard Top 100 of 1975
"He Ain't Heavy, He's My Brother",Hollies,Billboard Top 100 of 1970
Handy Man,James Taylor,Billboard Top 100 of 1977
Love Is In The Air,John Paul Young,Billboard Top 100 of 1978
I Can See Clearly Now,Johnny Nash,Billboard Top 100 of 1972
If You Leave Me Now,Chicago,Billboard Top 100 of 1976
The Entertainer,Marvin Hamlisch,Billboard Top 100 of 1974
In the Navy,Village People,Billboard Top 100 of 1979
Waterloo,Abba,Billboard Top 100 of 1974
Music Box Dancer,Frank Mills,Billboard Top 100 of 1979
Hold Your Head Up,Argent,Billboard Top 100 of 1972
Smoke On The Water,Deep Purple,Billboard Top 100 of 1973
I Don't Know How To Love Him,Helen Reddy,Billboard Top 100 of 1971
The Air That I Breathe,Hollies,Billboard Top 100 of 1974
Show Me The Way,Peter Frampton,Billboard Top 100 of 1976
Jungle Fever,Chakachas,Billboard Top 100 of 1972
Rikki Don't Lose That Number,Steely Dan,Billboard Top 100 of 1974
Still The Same,Bob Seger & The Silver Bullet Band,Billboard Top 100 of 1978
Goodnight Tonight,Paul McCartney & Wings,Billboard Top 100 of 1979
Barracuda,Heart,Billboard Top 100 of 1977
In the Summertime,Mungo Jerry,Billboard Top 100 of 1970
We Are Family,Sister Sledge,Billboard Top 100 of 1979
Look What You Done For Me,Al Green,Billboard Top 100 of 1972
